Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
GS TRADING IMPORT EXPORT S.R.L,13554,Gastos Contado,09/13/2018 00:00:00,09/14/2018 00:00:00,278867,278867,65783
RETAIL SA -,14042,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,40344,40344,10010
SANTA ELENA S.A.,14204,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,1475000,1475000,832
SANTA ELENA S.A.,14236,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,"527876,7","527876,7",832
SANTA ELENA S.A.,14241,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,"1851406,36","1851406,36",832
SANTA ELENA S.A.,14319,Compras  CREDITO,09/20/2018 00:00:00,10/20/2018 00:00:00,"1074792,72","1074792,72",832
SANTA ELENA S.A.,14408,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,"184033,6","184033,6",832
SANTA ELENA S.A.,14409,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,"2074312,6","2074312,6",832
SANTA ELENA S.A.,14410,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,"905927,85","905927,85",832
SANTA ELENA S.A.,14432,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,"3490771,92","3490771,92",832
SANTA ELENA S.A.,14433,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,"1833387,1","1833387,1",832
SANTA ELENA S.A.,14467,Compras  CREDITO,09/22/2018 00:00:00,10/22/2018 00:00:00,"450829,5","450829,5",832
SANTA ELENA S.A.,14483,Compras  CREDITO,09/24/2018 00:00:00,10/24/2018 00:00:00,"964066,49","964066,49",832
SANTA ELENA S.A.,14500,Compras  CREDITO,09/24/2018 00:00:00,10/24/2018 00:00:00,"5754854,34","5754854,34",832
SANTA ELENA S.A.,14502,Compras  CREDITO,09/24/2018 00:00:00,10/24/2018 00:00:00,"118593,56","118593,56",832
SANTA ELENA S.A.,14805,Compras  CREDITO,10/01/2018 00:00:00,10/31/2018 00:00:00,"3142470,94","3142470,94",832
SANTA ELENA S.A.,14879,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,"207595,44","207595,44",832
AG IMPORTACIONES S.R.L.,14891,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,500000,500000,1447
SANTA ELENA S.A.,14921,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,"936854,48","936854,48",832
SANTA ELENA S.A.,14987,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,1830000,1830000,832
SANTA ELENA S.A.,15020,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,"4054545,96","4054545,96",832
SANTA ELENA S.A.,15022,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,"634343,6","634343,6",832
SANTA ELENA S.A.,15023,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,"1080103,3","1080103,3",832
SANTA ELENA S.A.,15054,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,850000,850000,832
CADENA REAL SA,15074,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,14950,14950,9617
ASEGURADORA DEL ESTE S.A.,15125,Gastos Credito,09/11/2018 00:00:00,10/11/2018 00:00:00,"17198325,182","17198325,182",9274
SANTA ELENA S.A.,15140,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,"1860302,4","1860302,4",832
SANTA ELENA S.A.,15155,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,"1720458,06","1720458,06",832
SANTA ELENA S.A.,15196,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,"1971536,4","1971536,4",832
SANTA ELENA S.A.,15198,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,"1016812,26","1016812,26",832
SANTA ELENA S.A.,15227,Compras  CREDITO,10/04/2018 00:00:00,11/03/2018 00:00:00,"1981928,76","1981928,76",832
ASEGURADORA DEL ESTE S.A.,15276,Gastos Credito,09/11/2018 00:00:00,10/11/2018 00:00:00,2970000,2970000,9274
FONO BURGUER I,15507,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,28000,28000,41751
LUBRICANTES Y CAUCHOS(LUBRICAUCHO S.A.),15721,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,90000,90000,1082
PARAGUAY AUTOPARTES Y ACCESORIOS S.A.,15956,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,561000,561000,47457
INSTITUTO SUPERIOR JUAN PABLO II,16444,Gastos Contado,09/25/2018 00:00:00,09/26/2018 00:00:00,275000,275000,41040
INSTITUTO SUPERIOR JUAN PABLO II,16458,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,440000,440000,41040
INSTITUTO SUPERIOR JUAN PABLO II,16463,Gastos Contado,10/01/2018 00:00:00,10/02/2018 00:00:00,400000,400000,41040
INSTITUTO SUPERIOR JUAN PABLO II,16543,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,385000,385000,41040
GS TRADING IMPORT EXPORT S.R.L,16630,Gastos Contado,10/01/2018 00:00:00,10/02/2018 00:00:00,308421,308421,65783
KAEFE S.R.L.,16826,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,924000,924000,9268
LACOSTA DISTRIBUIDORA,17812,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,480200,480200,34453
LACOSTA DISTRIBUIDORA,17814,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,711650,711650,34453
RETAIL SA -,18089,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,21078,21078,10010
SOFAPE S/A,18153,Proveedores Ext.,09/03/2018 00:00:00,10/03/2018 00:00:00,"678462085,386","678462085,386",1424
CADENA REAL SA,18188,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,12850,12850,9617
CADENA REAL SA,18190,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,34200,34200,9617
SALEMMA RETAIL S.A.,18246,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,23650,23650,1209
GS TRADING IMPORT EXPORT S.R.L,18311,Gastos Contado,10/12/2018 00:00:00,10/13/2018 00:00:00,326010,326010,65783
RETAIL SA -,18446,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,44054,44054,10010
PROCARD SA,18520,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,13266,13266,10132
PROCARD SA,18521,Gastos Credito,09/28/2018 00:00:00,09/29/2018 00:00:00,40894,40894,10132
IDICON S.A.,18943,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,468000,468000,10162
DIEXCAR DE ACRO S.A.,18946,Compras  CREDITO,09/20/2018 00:00:00,10/20/2018 00:00:00,1584000,1584000,64858
RETAIL SA -,18946,Gastos Contado,10/02/2018 00:00:00,10/03/2018 00:00:00,31280,31280,10010
RETAIL SA -,19279,Gastos Contado,10/03/2018 00:00:00,10/04/2018 00:00:00,30727,30727,10010
IDICON S.A.,19301,Compras  CREDITO,09/20/2018 00:00:00,10/20/2018 00:00:00,975994,975994,10162
ELECTROPAR S.A.,19341,Gastos Credito,09/27/2018 00:00:00,10/27/2018 00:00:00,482022,482022,1190
IDICON S.A.,19393,Compras  CREDITO,09/21/2018 00:00:00,10/21/2018 00:00:00,3028167,3028167,10162
SUPERMERCADO GUARANI SRL,19491,Gastos Contado,10/05/2018 00:00:00,10/06/2018 00:00:00,282000,282000,9689
ELECTROPAR S.A.,19714,Gastos Credito,10/04/2018 00:00:00,11/03/2018 00:00:00,55000,55000,1190
RAFAEL NICOLAS GIMENEZ E.I.R.L.,19779,Compras  CREDITO,09/14/2018 00:00:00,10/14/2018 00:00:00,"1387720,8","1387720,8",34268
IDICON S.A.,19870,Compras  CREDITO,09/27/2018 00:00:00,10/27/2018 00:00:00,"2967180,3","2967180,3",10162
RAFAEL NICOLAS GIMENEZ E.I.R.L.,19895,Compras  CREDITO,09/26/2018 00:00:00,10/31/2018 00:00:00,1702916,1702916,34268
UNIVERSIDAD POLITECNICA Y ARTISTICA,19913,Gastos Contado,09/27/2018 00:00:00,09/28/2018 00:00:00,200000,200000,9726
IMPORTADORA AVENIDA S.A.,19977,Compras  CREDITO,09/25/2018 00:00:00,10/25/2018 00:00:00,2336400,2336400,956
IDICON S.A.,20138,Compras  CREDITO,10/01/2018 00:00:00,10/31/2018 00:00:00,2124512,2124512,10162
BRINGCO S.A,20218,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,40800,40800,13894
IDICON S.A.,20242,Compras  CREDITO,10/02/2018 00:00:00,11/01/2018 00:00:00,922381,922381,10162
DATA INFORMATICA,20257,Gastos Credito,09/25/2018 00:00:00,10/25/2018 00:00:00,204000,204000,68347
DATA INFORMATICA,20269,Gastos Credito,09/26/2018 00:00:00,10/26/2018 00:00:00,57000,57000,68347
DATA INFORMATICA,20311,Gastos Credito,10/03/2018 00:00:00,11/02/2018 00:00:00,126000,126000,68347
IDICON S.A.,20363,Compras  CREDITO,10/03/2018 00:00:00,11/02/2018 00:00:00,"771705,99","771705,99",10162
RETAIL SA -,21346,Gastos Contado,10/01/2018 00:00:00,10/02/2018 00:00:00,69602,69602,10010
LIDIO RAMON CASTILLO PAEZ,21347,Gastos Contado,10/09/2018 00:00:00,10/10/2018 00:00:00,31000,31000,68467
FORMUGRAFICA S.A.,21372,Gastos Credito,09/26/2018 00:00:00,10/26/2018 00:00:00,2255000,2255000,9298
PROCARD SA,21486,Gastos Contado,09/28/2018 00:00:00,09/29/2018 00:00:00,17325,17325,10132
