Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
CIN 10.33.0450,1,0
ZF 1290.395.185,2,0
ZF 1290.304.624,0,-2
CIN 10.33.0361,2,0
KL 68.040,0,-1
ARY 341407,0,-1
EUR 95.53.1236,0,-1
EUR 95.53.1225,0,-1
GER 00.132.004,0,-2
CIN 10.33.0285,0,-1
CIN 10.33.0479,0,-1
CIN 10.33.0376,0,-1
MB-6605,0,-1
CIP 353843 A,0,-1
SC 353843 0.30,1,0
CIP 353843,1,0
EUR 74.53.0466,1,0
CIN 14.33.0075,1,0
CIN 11.33.0032,1,0
CIN 14.33.0031,1,0
GRA 816,4,0
BEP B004,0,-2
SC 871702,0,-28
FAL 32339,1,0
ESP DNI-5040,0,-8
ESP 12M,0,-9
BEP M026G,1,0
BEP M038D,0,-2
BEP M038I,0,-2
BEP M038K,2,0
SC 1484076,0,-1
MB-2468,0,-1
LP & LS,1,0
BEP M025C,0,-3
BEP M025E,0,-3
FCS-SC030,10,0
BEP S245,0,-1
FAB ER023,1,0
FCS-SC036,0,-1
PRIO ER023,0,-1
FCS-SCFO-045,0,-1
SC-5161,0,-1
SC-1324,0,-10
FCS-SC194,0,-2
BEP S237A,0,-1
FCS-56036,0,-1
BEP M026E,0,-2
FCS-SN011 LH,1,0
AMA 6083 E,1,0
AMA 6077 D,1,0
SC-1294,0,-1
AMA 6077 E,0,-1
SC 1370329,0,-1
TBP S80.8078,1,0
AMA 6112 E,0,-1
AMA 6122 D,5,0
TBP S80.8087,0,-1
AMA 6122 E,4,0
MB-600,0,-6
MB-3575,0,-3
MB-601,1,0
SC-875,0,-1
CIP 1334041,2,0
CIP 1328726,1,0
BEP M187BI,0,-2
BEP M185,0,-2
SC AL-202,0,-1
CIP 1351203,1,0
BEP M186,0,-2
SC AL-203,0,-3
SC-3265,0,-1
PRA PL50005000,0,-1
SIN 203424,10,0
SIN 203424 CR LED,6,0
SIN 203424 AMAR LED,1,0
SIN 203424 VERD LED,0,-8
SIN 203424 ROJO,0,-1
SC-5182,0,-2
NIN F-202 L/D,2,0
TBP S80.8252,2,0
SC 1852573,0,-2
SC 1852572,1,0
TBP S80.8249,0,-1
SC F-58CA,0,-1
NIN F-201 L/I,0,-1
SIN 1110 AM,4,0
SIN 1110 VM,0,-5
SIN 1110 VD,0,-2
SC-5144,1,0
SIN 1075 D,0,-4
SC-1138,0,-1
RN-1031BI,1,0
BAI 634FL ROJO,0,-7
BAI 634FL AMAR,0,-4
SC-3074,0,-6
BAI 1035 FL,1,0
BAI 1035 FL ROJO,0,-7
BAI 1035 FL VERDE,0,-34
SIN-1145AM,4,0
SIN 1124 AM,0,-5
BAI 634 CRISTAL,0,-3
BAI 634 NARANJA,3,0
BAI 634 ROJO,0,-10
BAI 634 VERDE,0,-13
SIN 1116 VD,0,-7
SIN 1118 AM,1,0
SC-1532,0,-1
SIN 1118 VD,7,0
RCD RC221,6,0
FCS-SN002 RH,0,-3
ART 1845,1,0
ORG FM-195LI,0,-1
ORG FU-199,0,-1
MB-710,0,-1
RCD RC-109,0,-1
RCD RC 879,0,-2
ORG FM-69LD,0,-1
ORG FM-69LE,0,-1
NIN F-50C,0,-1
FCS-SN007 RH,1,0
FCS-SN007 LH,0,-2
FCS-SN001 RH,0,-4
NIN F-158,2,0
FCS-SN001 LH,0,-2
NIN F-157,1,0
RCD RC864,0,-1
RCD RC865,0,-1
SC-3549,0,-1
NIN F-138,0,-1
SC-5140,0,-1
BAI 1035 LED A,0,-1
SC-7266,0,-2
SC-5139,0,-5
SC-5143,0,-10
BAI 1035 LED R,20,0
SC-2996,15,0
PRA PL05128141,0,-1
SIN 1117/2 NARANJ,0,-6
SIN 1117/2 VERDE,3,0
SC-1975,0,-1
SC-3754,0,-2
SC-1534,0,-5
SIN 1060,9,0
SIN 1125 AMAR,0,-4
SC 1422991.1,0,-12
SIN 1069S AM,0,-1
FCS-SN008 RH,0,-4
SC-5044,0,-1
SC-5049,0,-2
SIN 1183 AM,1,0
SIN 2970 AM,0,-2
SIN 2970 ROJO,0,-4
MB-5333,0,-2
SC-197,4,0
EAG LA1199E YL,0,-2
SC-2978,1,0
FCS-SN003 RH,0,-3
IAM 5784257277,0,-2
SIN 1049 L/D,0,-1
FCS-SN003 LH,0,-2
IAM 257 LE,0,-1
IAM 5784257269,0,-3
SIN 1049 L/E,2,0
SC-5160,0,-11
SC-4831,0,-1
SIN 1198 BI,0,-3
SIN 1191 AM,9,0
SIN 1191 VM,0,-9
SC-3505,0,-1
PRA PL21006209,1,0
PRA PL21027769,0,-1
SIN 1145 PS,0,-4
RN 4016,0,-1
SIN 1071 I,1,0
MB-1673,0,-18
SIN 1072 D,0,-2
MB-5941,2,0
FCS-SN006 RH,0,-4
RN 6004,0,-1
SC-196,1,0
FCS-SN006 LH,0,-3
SC-3550,1,0
PRA PL07000106,0,-1
SC-3551,0,-1
MB-692,0,-3
MB-3939,0,-1
MB-696,1,0
PRA PL05140001,5,0
SIN 1065,0,-3
SIN 2132.24.206,0,-3
SIN 2032.24.206,0,-1
SIN 2070.24 CR,0,-5
SIN 2180.0.24 LD,0,-1
SIN 2080.0.24 LD,0,-3
SIN 2023.24 LI,1,0
SIN 2023.24 LD,0,-2
FCS-BZMO-079,1,0
SIN 1200 L/D,1,0
PRA PL20046109,0,-2
SIN 1193 L/D,3,0
MULT 1193 L/D,0,-1
SIN 1193 L/I,0,-1
LINCH 1296 L/I,2,0
PRA PL20046469,0,-1
SIN 7007 L/I,0,-1
MULT 1193 L/I,0,-3
FCS-SN016 RH,0,-3
FCS-SN016 LH,0,-5
PRA PL16140209,0,-1
SIN 1040 L/D,0,-11
RN 4013,0,-3
FCS-BZOT-011 RH,0,-2
FCS-BZOT-011 LH,0,-1
SIN 1040 L/I,0,-3
SIN 1077 S/V,0,-1
PRA PL07162309,0,-1
PRA PL07160109,1,0
FCS-BZOT-010 RH,1,0
FCS-BZOT-010 LH,1,0
SIN 1513 CV,3,0
SIN 1513 SV,0,-4
MB-690,0,-3
PRA PL05000105,0,-1
SC 3981668,0,-1
SC 199846,2,0
SC 1798980,0,-1
PRA PL04540062,0,-1
SIN 1050 CR,0,-1
SC-5178,0,-2
SIN 1188 VD,0,-7
MB-5336,0,-1
MB-3294,1,0
MB-3295,2,0
MB-5334,0,-1
MB-4542,0,-2
SIN 1044 C/V,3,0
SIN 1044 S/V,0,-1
SC-3999,0,-2
SC 983LS,0,-4
MB-5827,2,0
SC 1387877/1,4,0
MB-6331,0,-17
MB-6328,0,-121
MB-6332,0,-35
MB-6329,0,-102
MB-2572,0,-12
MB-3204,0,-13
MB-6330,2,0
MB-6325,2,0
LON 7229 XX,7,0
LON L-636 STD,0,-20
LON L-107 STD,1,0
LON L-107XX,0,-16
LON L-157XX,4,0
FRA FD77 XXX,1,0
LON L-551 STD,4,0
LON 7230 STD,2,0
FRI BB-7781-1X,8,0
LON L-157 AX,8,0
FRA 176,1,0
FRA 176 X,0,-4
FRI BB-7176,0,-17
FRI BB-7176-1X,0,-41
FRI BB-7176-2X,0,-4
FRI BB-7176-3X,0,-8
LON L-348,53,0
LON L-348 XXX,0,-20
COB 0326 XX,8,0
COB 0326 X,0,-8
FRA 180 XX,0,-4
FRI BB-7180,0,-5
FRI BB-7180-2X,2,0
FRI BB-7180-3X,0,-4
FRA 181,7,0
FRI BB-7181-1X,0,-2
FRI BB-7181-2X,0,-3
FRI BB-7181-3X,0,-8
FRA 182 X,0,-1
FRI BB-7182,0,-4
FRI BB-7182-1X,0,-1
FRI BB-7182-2X,5,0
FRI BB-7182-3X,14,0
THE TH136 XXX,52,0
FRA 183,12,0
FRA 183 XX,0,-24
FRA 183 XXX,0,-4
FRI BB-7183,0,-1
FRI BB-7183-1X,0,-11
FRI BB-7183-2X,0,-24
FRI BB-7183-3X,12,0
FRA 184,0,-10
FRI BB-7184,0,-1
FRI BB-7184-1X,6,0
FRI BB-7184-2X,0,-32
LON L-552 STD,4,0
LON L-552XX-NA,0,-8
LON L-552XXX-NA,0,-41
SUP DM-584,0,-12
THE TH133,0,-4
THE TH133 XX,4,0
FRA 184 X,4,0
FRA 185,0,-8
FRA 185 X,0,-5
FRA 185 XX,8,0
FRA 185 XXX,0,-4
FRI BB-7185,0,-43
FRI BB-7185-1X,2,0
FRI BB-7185-2X,2,0
FRI BB-7185-3X,1,0
LON L-551 XXX,0,-4
LON L-551 XX,0,-4
COB 0135T,8,0
SUP DM-585 STD,0,-4
COB 0135T X,0,-8
COB 0135T XX,0,-8
FRI BB-7187,4,0
FRA 188 XX,8,0
FRI BB-7188-1X,24,0
FRI BB-7188-2X,0,-4
LON 164 X,0,-4
FRI BB-7190,0,-6
FRI BB-7190-1X,0,-3
FRI BB-7190-2X,0,-17
LON L-131 X,11,0
LON L-131XX,0,-3
FRI BB-7191-1X,5,0
FRI BB-7191-2X,0,-8
LON L-133 STD,14,0
LON L-133 X,0,-52
LON L-133 XX,18,0
FRA 193 XX,0,-9
FRA 193 XXX,0,-8
FRA 193,0,-2
FRI BS-7193,3,0
FRI BS-7193-1X,3,0
LON L-586,8,0
LON L-586 XXX,0,-8
FRI BB-4195,0,-1
FRI BB-4195-1X,2,0
FRI BB-4195-2X,0,-1
FRI BB-4195-3X,0,-1
FRA 4195A,0,-4
FRA 4514 XX,1,0
FRI BB-4514-3X,0,-2
LON L-136XX,4,0
THE TH-4514,0,-4
COB 4515T STD,0,-8
FRA 4515 XX,25,0
FRI BB-4515-1X,0,-22
FRI BB-4515-2X,0,-4
FRI BB-4718-2X,7,0
LON L-639 X,3,0
FRI BB-7777-1X,0,-4
FRI BB-8032,0,-8
DUR DC-332 X,0,-30
DUR CA32 XX,0,-2
FRA CA32,0,-3
FRA CA32 X,9,0
FRA CA32 XX,0,-12
FRI BB-4644,12,0
FRI BB-4644-1X,0,-54
LON L-638,0,-12
SUP CA32X,0,-8
THE 4516 XX,0,-4
THE TH-4516 X,0,-8
FRA CA33,0,-10
FRA CA33 XX,2,0
LON L-636,16,0
LON L-636 X,0,-8
FRA CH33 XX,0,-8
FRI CH-33,4,0
FRI CH-33-1X,0,-8
FRI CH-33-2X,0,-8
FRA FD/77,0,-48
FRI BB-7784,0,-1
FRI BB-7784-1X,0,-4
FRI BB-7788-1X,0,-1
FRA SV223,0,-1
FRA SV223 X,2,0
FRI BB-7223,0,-2
FRI BB-7223-1X,1,0
FRI BB-7223-2X,0,-3
FRI BB-7224,0,-4
DUR DS726,0,-4
FRA SV226 X,0,-3
FRA SV226 XX,0,-8
FRA SV226,8,0
FRI BB-7226,13,0
FRI BB-7226-1X,12,0
FRI BB-7226-2X,0,-1
LON L-497 X,5,0
LON L-497 XX,0,-5
LON L-497 STD NA,0,-8
FRA SV227 XX,32,0
FRI BB-7227,0,-2
FRI BB-7228-1X,0,-52
FRI BB-7228-2X,0,-8
FRA SV229,0,-4
FRI BB-7229,0,-2
FRI BB-7229-1X,0,-17
LON L-308 X,0,-20
THE TH-180 X,0,-30
THE TH 179 X,0,-48
FRI BB-7230-1X,4,0
FRI BB-7230-2X,0,-18
LON L-309,0,-4
LON L-309XX,0,-2
FRI BB-7231,2,0
FRI BB-7231-1X,0,-8
FRI BB-7231-2X,0,-1
LON L-310 XX,0,-2
LON L-663 X,9,0
FRA VV289 STD,0,-4
FRI BB-4664-1X,0,-4
FRI BB-4664-2X,0,-17
FRI BB-4698,8,0
FRI BB-7299,11,0
FRI BB-7299-1X,10,0
FRA VV300 XX,0,-4
FRA FD 88 XX,0,-8
FRA 231 XX,3,0
LON 309XX,0,-2
LON L-509X,3,0
TF 15-A,0,-1
FAL 31859,0,-1
MAN C 20325/2,0,-1
PRIO 1101800355,1,0
MB-2736,0,-1
ROC 140480-6,0,-1
BEP B062T,0,-1
SC-2050,1,0
FEB 31431,1,0
MAN H947.1,1,0
MAN WA956,0,-1
SAK A-28510,0,-1
MAN C27844,4,0
P-707.6,0,-6
LPC-811-CL,0,-1
MAN PU941.1X,0,-1
WK 1060,0,-5
CIP 301125F,1,0
SC-2416,0,-1
MB-4085,0,-1
WAB 432.410.226.1,1,0
WAB 432.901.223.1,0,-3
TRU 01.36.022,0,-2
WAB 432.410.126.0,1,0
WAB 432.410.083.0,0,-1
WAB 932.400.003.0,1,0
MB-1535,0,-10
MB-668,0,-1
SC-1302,1,0
CIP 1371208,2,0
SC 1371208,0,-4
CIP 1371207,2,0
SC 1371207,0,-1
CIP 1371206,0,-2
SC 1371206,0,-1
CIP 1371201,2,0
SC 1371201,5,0
SC-4594,1,0
SC-2564,0,-2
SC-2566,0,-5
FLEX FX105,0,-12
PRI FX-105,0,-39
SC-1471,4,0
FAL 45018,1,0
FAL 45019,0,-1
FAL 45020,8,0
SC-2956,0,-1
MB-1417,0,-1
CIP 814351,0,-1
SC-4025,0,-2
SC-4412,0,-2
CIP 300809,0,-1
SC-2733,0,-1
MB-314,1,0
MB-320,0,-5
MB-1975,0,-2
SC-4591,0,-50
SC-2418,0,-1
SC-4589,0,-1
SC-1925,1,0
SC-1940,2,0
FLEX 384.420.7248,0,-3
MB-2534,0,-12
SC-4049,0,-2
CR-FHH,0,-1
MB-1854,3,0
SC 4970,0,-1
CIP 214522,0,-3
FLE 966556,0,-4
SC-2693,0,-2
SC-1305,0,-1
MB-322,2,0
MB-078,0,-1
MB-321,1,0
SIE 221004030R,1,0
SIE 224001027R,0,-2
SC-1104,8,0
SC-5202,1,0
SC 1423990,1,0
VAR RCLF 0035.0,0,-1
VAR RCLF 0003.8,0,-68
AT 705302,0,-1
NARV 17035,0,-1
NARV 17311,0,-2
NARV 17918,0,-6
VALE 32107,0,-17
NARV 17916,0,-17
VALE 32201,0,-28
NARV 17635,8,0
NARV 42007,0,-2
VALE 32109,0,-59
NARV 17326,0,-123
NARV 17927,0,-9
NARV 17925,0,-13
NARV 17643,0,-36
NARV 17181,0,-4
VALE 32217,145,0
VALE 32003,8,0
NARV 48702,0,-4
NARV 48351,0,-2
NARV 48321,0,-1
VALE 32005,1,0
NARV 48700,2,0
NARV 48901,0,-8
NARV 48904,0,-1
NARV 48881,0,-8
VALE 32007,0,-66
VALE 32513,0,-5
NARV 48991,0,-5
NARV 48994,0,-3
NARV 48892,0,-3
NARV 48894,4,0
VALE 32223,253,0
NARV 17131,0,-1
NARV 17040,0,-4
NARV 17039,79,0
NARV 17037,0,-5
NARV 17177,0,-3
VALE 32211,0,-35
VALE 32213,82,0
NARV 17197,0,-11
NARV 17315,0,-1
NARV 17125,2,0
TRA 43980/015,0,-30
TRA 44999/204,0,-29
KNO K001221,1,0
KNO K001220,2,0
MB-5613,0,-5
MB-707,0,-2
MB-3534,0,-110
MB-5591,89,0
SC-2612,0,-1
SC-3041,0,-10
SC-1388,0,-5
SC-3404,0,-8
SC-3405,0,-4
SC-4112,0,-8
SC-1643,0,-8
TK 30A,0,-21
VTO VL30,10,0
MB-042,2,0
SC-62004,0,-2
UNIV 60.157,0,-4
SC 1131,276,0
FLEX EL101,0,-6
FLEX EL105,8,0
SC 1113,41,0
PRIO EL102,10,0
SC 1112,0,-82
FLEX EL102,53,0
FLEX EL103,8,0
SC 1114,4,0
MB-3010,0,-18
SC-4235,1,0
REI R-006,0,-2
REI R-252,2,0
REI R-361,0,-1
SC 1421991,0,-4
PRIO 1421991,5,0
MB-789,0,-2
CEN 85223.03,0,-1
SC 1366861,1,0
SC 1366405,0,-5
SC 8125211,0,-1
SC-1260,0,-1
SC-5100,0,-1
AUT 01843,0,-1
PRIO 1397796,0,-1
SC 1397796,3,0
REI R-334,6,0
SC-1673,0,-4
SC-1674,0,-12
SC 1297,4,0
SC-1672,0,-1
SC 1517792,1,0
FLEX AM102,0,-4
MB-795,0,-2
MB-6457,0,-10
MB-2027,1,0
MB-794,0,-1
CIP 1442109,0,-3
FAL 34700,0,-1
SC 1442109,0,-5
SC-1929,0,-1
SC-2171,0,-4
SC-5262,0,-2
SC-2751,0,-2
SC-5288,0,-4
MB-3622,0,-1
SC 1366851,0,-9
SC-2429,0,-1
SC-4145,1,0
SC-263,0,-2
REI R-479,0,-1
SC-2419,6,0
SC-2428,0,-1
AUT 09078,0,-1
PRIO 839S,0,-3
SC 1348121,0,-7
SAM 040171,0,-1
CIP 1424231,0,-1
SC 1424231,0,-1
AIR 170005,1,0
CIP 1349840,1,0
SC 1349840,2,0
GLO 842S,1,0
SC-5308,0,-1
REI R-323,0,-1
SC-241,0,-1
REI R-343,1,0
REI R-339,0,-4
SC-1504,0,-2
FAL 30708,0,-1
SC 1386577,0,-1
MB-768,0,-6
CR-024,0,-2
CR-025,2,0
SC 60010,0,-1
SC 4738,0,-2
MB-778,10,0
MAR ULTRA SP 1KG,0,-4
MB-2648,129,0
MAR SUPER FX 20,0,-1
BEP M199,10,0
AMA 923,2,0
SC-167,0,-2
FCS-SC079 RH,1,0
SC-2039,1,0
FCS-SC079 LH,0,-2
SC-2024,0,-2
SC-6996,0,-1
SC 1485485,2,0
SC 1485486,0,-1
SC 1364665,2,0
FAB PP1003B,0,-1
AMA 1665 E,2,0
SC-1357601,0,-1
BEP S281,2,0
AMA 6054,1,0
SC 1357600,0,-2
AMA 7015,5,0
AMA 1159 E,3,0
BEP S282,1,0
SC 1435075,0,-2
AMA 6055,1,0
SC 1357599,4,0
AMA 7013,3,0
MB-765,13,0
MB-809,0,-6
MB-766,0,-3
SC 1345492,0,-3
MB-785,0,-2
MB-786,4,0
ROC 030026-8,7,0
MB-2606,0,-3
ROC 030024-1,0,-3
REI R-105,0,-3
MB-764,0,-1
MB-790,0,-1
ROC 071013-0,2,0
GUA 349034,0,-1
SPI 2-13-509XG,0,-4
SPI 2-13-159XG,0,-7
SPI 2-13-149X-2G,0,-1
SPI 2-13-279XG-2,26,0
SPI 2-13-279XG,0,-3
SPI 2-13-419X,1,0
SPI 2-13-1719G,0,-1
SPI 2-13-139XG,0,-3
SPI 2-13-569X-1G,6,0
SPI 2-13-259XG,0,-2
SPI 2-13-659XG,0,-1
SPI 2-13-129XG,0,-2
ROC 040002-5,0,-3
SC-3355,0,-6
SC-3354,0,-6
REI R-004,0,-7
REI R-461,1,0
REI R-281,0,-2
SC-255,0,-4
CIP 310243,1,0
FAL 30446,0,-1
SC 248325,0,-1
REI R-693,3,0
MB-762,0,-1
SC-1346608,0,-1
SC-4226,0,-5
AMA 1030,1,0
REI R-816,0,-2
SC-2730,0,-22
PRIO CM22-06,0,-2
SC-808,260,0
SC-844,23,0
PRIO CM22-85,0,-1
CIP 812912,36,0
SC-828,0,-13
SC-805,0,-2
PRIO CM22-12,3,0
CIP 812913,0,-1
SC-1187,0,-1
SC-1072,0,-20
ROC 021034-0,7,0
SC-526,0,-1
SC-1230,1,0
SC-1080,2,0
SC-3259,0,-1
MB-796,0,-4
SC-1813,1,0
RIO 11.837.020,0,-18
RIO 11.710.050,48,0
RIO 11.710.150,76,0
RIO 11.798.035,3,0
VAL 1403823,0,-4
RIO 11.582.020,7,0
RIO 11.288.020,0,-25
RIO 11.043.020,0,-8
RIO 11.558.035,0,-38
SC-1623,0,-1
RIO 11.289.020,0,-9
RIO 11.265.020,15,0
RIO 11.559.035,0,-42
RIO 11.230.060,8,0
SC-1412398,0,-1
SPI 1161-279,6,0
NAK NJH46-139,0,-2
NAK NJH26-139,2,0
CIP 191438,0,-4
IC 132650800,0,-1
IC 132613400,0,-1
IC 132650700,2,0
IC 132650900,2,0
IC 132602700,0,-1
IC 132651000,0,-1
MB-5705,2,0
REI S-365,0,-1
MEC GR-1339,0,-1
SPI 26-227,3,0
SPI 3-28-537,0,-1
MEC GR-1431,0,-1
SPI 26-135,4,0
TOT T05FU,1,0
TOT T07,0,-2
MB-3687,0,-1
TOT T07FU,1,0
SC-1261,1,0
SC-5267,0,-2
CIP 380610,1,0
SC 1307717,0,-1
SPI 03-466XL,0,-1
SPI 82-1570C,1,0
SC-772,1,0
CIP 1382795,0,-1
SC-1283,0,-1
SC-4080,0,-1
MON 306499.1,0,-2
MON 1365100,1,0
SC 1365100,0,-2
MON 528801,0,-3
MON 1365105,1,0
SC 1365105,0,-1
INS 1365105,0,-1
MON 1724049,0,-1
SC-2084,0,-2
CIP 384051,2,0
SC-4638,0,-2
SC 355407,1,0
TBP S80.8142,0,-1
SC-3281,1,0
SC-2647,0,-1
MARE 13696,0,-1
SC-3821,0,-2
PD 117,3,0
SC 59122,0,-4
SC 537072.1,2,0
TRA 44400/209,0,-1
SAB 79402,1,0
SAB 79473,0,-23
SC-4821,0,-1
SC 32308,0,-4
PRIO 1116848X,1,0
MB-4914,0,-1
SC-2793,0,-31
SC 1374338/0,0,-1
VOL 7080,1,0
SC-740,0,-2
CIP 550509,0,-6
FAL 30766,1,0
CIP 550516,0,-2
SC-4954,0,-7
SC-1199,6,0
CIP 539692,0,-3
SAB 81952,4,0
SAB 48906 EF1,0,-1
SAB 79310,1,0
SC-677,0,-1
SAB 80412,0,-1
SAB 80901,2,0
SC-3456,0,-2
SAB 79150,0,-2
BMC 551350,1,0
SC-1047,1,0
SC-744,1,0
SAB 71706 EFPSD,1,0
SAB 46906 EFSG,0,-1
SC-4200,2,0
SAB 78447,0,-11
SC-4835,4,0
SAB 79563,0,-5
SC-0512,0,-5
TRA 42808/103,0,-1
VOL 6885992,0,-1
SC 389434,34,0
TRA 44852/216,0,-1
TRA 44130/505,0,-1
CIP 1398645X,0,-8
TRA 44997/033,0,-1
SC 59712,1,0
MB-2213,0,-1
ROC 500059-9,0,-1
UNI 48.222-PAK,3,0
SC-651,0,-6
CIP 181383,0,-2
SC-5315,0,-2
SC-1927,6,0
SAB 48332 FS2,0,-6
SAB 48332 EF,0,-11
SAB 48318 F,0,-1
SAB 48626 F,0,-2
UNI 48.432-PAK,0,-6
SAB 48832 FS2,1,0
MB-829,0,-2
SAB 48832 EF,0,-1
SC 1420776,0,-6
CIP 1420776,7,0
SC-669,1,0
SAB 46726 EF,0,-2
ROC 500330-0,0,-4
SC-746,0,-12
SC-2853,0,-7
CIP 238777,0,-3
ROC 500013-0,1,0
UNI 48.430,0,-7
MB-2437,5,0
SC-2323,0,-1
SC 1403883,1,0
FAL 33116,5,0
SC-688,0,-1
UNI 48.136-AG,1,0
FAL 05094,0,-10
MB-2484,1,0
PRIO 48899NA,0,-1
SAB 48822 F1,0,-2
SC-1014,0,-5
SC-2556,0,-2
SAB 48180 EF,0,-1
MB-2363,0,-1
UNI 48.380-PP,1,0
JUN 48816,1,0
SAB 48116 EF,0,-2
MB-28283,0,-1
JUN 1412666,0,-2
CIP 215242,0,-2
SC-725,0,-1
SAB 59616 F,0,-1
JUN JL59616,1,0
FAL 30140,2,0
SC-5327,3,0
SAB 96224,0,-1
CIP 170700,1,0
SC-739,0,-1
SAB 46816 F2,0,-1
SAB 75922,2,0
FAL 09974,0,-1
MB-3211,0,-2
MB-843,0,-2
MB-3869,0,-15
PAM 3081,2,0
SC-1516,0,-1
CIP 522393,0,-1
CIP 532529,3,0
MB-3269,34,0
PRIO 48853NA,14,0
MB-867,0,-1
MB-848,0,-2
PRIO 48953NA,0,-2
MB-4560,0,-1
SC-683,0,-5
SC-5298,0,-1
CIP 308097,0,-7
SC-649,0,-12
MB-2406,1,0
SAB 48322 F,0,-2
UNI 48.623-PAK,0,-3
MB-838,1,0
SC-687,0,-4
SC-4034,5,0
CIP 750200,0,-1
UNI 48.826-CB,0,-1
MB-2988,1,0
SC-674,0,-1
SC-676,0,-1
SC-2672,0,-1
SC 1479872,0,-6
SC-5109,2,0
FAL 45095,0,-1
FAL 104159,0,-11
SC-1490,3,0
ROC 500222-2,0,-1
FAL 45088,0,-5
FAL 45083,16,0
SC-1492,13,0
SC 59346,0,-7
SC 59345,0,-5
CIP 121469,4,0
SC-722,0,-5
SC-1772,1,0
SC 59717,0,-3
FAL 30007,0,-5
CIP 120310,0,-1
SC-1727,0,-2
PRIO 59682,0,-70
SC 59721,0,-4
SC 59722,0,-4
MB-858,0,-1
SC 364791,24,0
CIP 1109288,2,0
JUN 1309051,8,0
SAB 48821 F4,0,-4
CIP 378264,0,-11
SC-691,0,-2
UNI 48.822-CV,1,0
SC-1168,1,0
UNI 48.551-AG,0,-50
UNI 48.848-GV,14,0
PRIO 48952PV,0,-4
MB-860,0,-7
SAB 48861 F,0,-6
MB-3093,1,0
MB-844,2,0
SC 1382187,1,0
SC 1502798,21,0
SC 1305139,0,-3
MB-849,0,-1
SC 1516474,0,-5
FAL 35732,0,-6
SAB 75652,1,0
SC-4029,0,-1
SAB 75653,3,0
SAB 75655,0,-1
SC-4030,0,-3
SC 424692,0,-6
SAB 48627 F,0,-4
SC-3210,0,-1
SC 1374326,0,-3
SAB 48902 FPSD,0,-2
SAB 82175,0,-1
SAB 82904,0,-4
SAB 82239,2,0
SAB 79100,0,-1
SAB 46901 FG2,1,0
DPH 95825,0,-1
SAB 99961,0,-1
JUN 1444941,0,-2
SC-1180,0,-1
POW 275548,0,-7
SC-1140,8,0
SAB 11001 FPSG4,0,-1
MB-021,0,-1
CIP 139039,0,-7
SC 59726,0,-2
SC-682,0,-1
SC-2346,0,-44
SC 149069,13,0
SC-1162,0,-10
SC-3293,0,-4
SC 280868/9,0,-23
REI R-154,0,-2
SC-6899,0,-1
SC-5041,0,-2
SAC 6573,0,-2
LUK 635.3501.00,3,0
SAC 6054,0,-1
MET K-1049 STD,0,-6
KS 90.276.974,2,0
KS 90.276.972,0,-2
KS 97.411.960,6,0
MAH K48410 STD,0,-2
MAH K48100 STD,2,0
MAH K76550,1,0
KS 90.738.971,1,0
MAH K76560 STD,0,-3
MAH K76570 STD,8,0
MAH K76650 STD,0,-1
MAH K76670 STD,0,-5
MAH K76675 STD,0,-1
KS 40.368.960,1,0
FAL 101389,4,0
SC 369910/1,0,-7
CIP 369910,0,-4
SC 614,0,-2
IC 133370011,1,0
ECK-54574,0,-3
SC 244437X,0,-1
CIP 244437C,0,-1
SC 1341683,0,-1
MB-6453,0,-5
SC-3105,0,-72
SC-5024,0,-6
CIP 280862,4,0
SC-5275,0,-1
SC-689,1,0
CIP 318523,0,-1
FAL 31653,0,-1
SC-692,0,-12
SC-1148,0,-2
SC-6466,1,0
BEP B062Q,0,-1
BEP B062Y,0,-1
BEP B062X,0,-1
BEP B062S,0,-1
LIG 1100,0,-150
UNIV 50.201,0,-1
ABRO EC533,0,-1
ROD 921613,0,-4
MAXI PN1774,0,-1
ROD RSC-2400,1,0
MB-5835,1,0
MARI IM11185,0,-4
MARI IM-11181,0,-1
TRA 44400/000,0,-1
TRA 44400/001,0,-2
TRA 44400/002,0,-3
TRA 44400/007,0,-1
TRA 44610/102,0,-1
TRA 44660/118,0,-1
TRA 44652/108,0,-1
TRA 44652/109,0,-1
TRA 44653/111,0,-2
TRA 44653/114,0,-1
TRA 44653/115,0,-1
TRA 44653/108,0,-2
TRA 44653/109,0,-1
TRA 44665/011,0,-2
TRA 44665/006,0,-2
TRA 44665/009,0,-1
MB-2656,0,-2
TRA 44680/014,0,-2
TRA 44680/017,0,-1
TRA 44680/113,0,-1
MARI IM11230/S,0,-1
SC-4882,0,-2
SC 389500,84,0
KOS K-03.9310.21,0,-1
MB-3649,1,0
TRA 44675/101,0,-1
TRA 44675/102,0,-1
MB-6425,0,-2
TRA 44630/105,0,-1
TRA 44610/166,0,-1
CIP 1413146,0,-1
SC-4035,0,-1
MARI IM11114,0,-2
SC-1419,0,-2
TRA 44637/101,0,-1
TRA 44740/004,1,0
SC-1720,0,-2
SC-4260,0,-3
PRIO 101527,1,0
TRA 42810/005,0,-1
TRA 27 X 33,0,-1
MB-2048,0,-2
RYG 30X32,0,-1
MARI IM11133/S,2,0
MARI IM12051,0,-2
SC-520,0,-1
MARI IM11113,0,-5
SC 1542529,0,-1
