Empresa,Yhaguy Repuestos,
L28130-4A001,0,-1
TEC ARL-2331,0,-2
28113-08000,0,-1
SAK A-2847,1,0
28113-A9200,0,-1
28113-0X000,0,-1
16546-0W800,0,-1
281131R100,0,-1
13780-63J00,3,0
TEC ARL-2203,0,-1
17801-21050,0,-3
17801-67060,1,0
17801-21030,0,-2
17801-23030,0,-1
TEC PSC-451,0,-1
TEC GI-06/7,1,0
TEC GI-40/7,5,0
TEC GI-41,0,-1
TEC GI-04/7,0,-1
PAR R120-30MB,1,0
94771044,0,-1
BFC-709,0,-1
SAK FC-1703,0,-1
LMC-169/1,0,-1
TEC PC-2/255,0,-2
TEC PSC-498,0,-2
PFBS8073,4,0
31922-2B900,3,0
L31922-2E900,0,-2
TEC PSC-998,1,0
PFB65611,0,-2
WK69/1,0,-1
23300-11050,2,0
M20063HE,1,0
P716/1X,1,0
PFBRF03C,0,-1
23390-64450,1,0
LAN BR-1178,1,0
LUB G-6575,1,0
LR120-30MB,0,-1
SAK FC-1806,1,0
BRY 26245A,0,-1
M20022HE,0,-2
319211G401,0,-1
SFA5517,0,-1
VAL 720624,0,-1
VAL ZXRU1,0,-19
VAL 836607,2,0
VAL 665854,1,0
VAL 845325,0,-1
VAL 705110,1,0
VAL 845246,0,-1
VAL E15010602,7,0
VAL 759100,0,-1
VAL 754569,1,0
VAL 665804,0,-1
VAL PYBF12,0,-2
VAL 881797,1,0
L10565,1,0
59419,0,-3
VAL 875391,0,-3
VAL 875290,0,-1
VAL VV743,1,0
VAL 884569,0,-10
VAL 884577,1,0
VAL 874241,0,-6
VAL 859865,0,-2
VAL 710994,1,0
VAL ZXEDRU1,0,-12
VAL VV749,0,-3
VAL VV820,0,-10
VAL 804751,0,-3
VAL VV296,0,-10
VAL VV301,0,-7
VAL VV360,2,0
VAL VV353,0,-12
VAL VV346,0,-4
VAL MX897,0,-1
VAL 881807,0,-2
VAL 880953,0,-4
VAL VV161,4,0
VAL VV324,1,0
VAL 773780,0,-2
VAL 774038,0,-17
VAL VV955,0,-2
VAL VV966,0,-2
65265,0,-2
64101,0,-2
TF 41-C,0,-1
MKT 182,0,-55
GLO 0008,0,-2
MAH G48017 STD,0,-12
IT22589000,0,-2
RS20020000,0,-1
LUBM 500M,0,-11
EZ12-12000,0,-3
ABRO AB09,0,-2
VAL 836457,0,-3
VAL 836532,0,-4
VAL 836533,0,-5
VAL 836534,0,-5
VAL 836536,0,-1
VAL 836538,0,-4
VAL 836427,0,-3
VAL 836428,0,-3
VAL 836429,0,-3
VAL 836430,0,-2
VAL 836451,0,-1
VAL 836452,0,-3
VAL 836454,0,-3
VAL 836455,0,-3
TF 34-A,0,-12
MB-2572,0,-2
MB-3204,0,-6
TF 14-A,0,-12
TF 15-A,0,-12
L16405-01T70,0,-1
VAR RCLF 0035.0,0,-9
AT 6092,1,0
K96601H7550,0,-10
KUM HERR,0,-1
CONS 10078,0,-4
TRA 7891114079227,0,-1
X35200RE,0,-2
SC-3105,0,-19
LLA 5007,0,-3
TVW/XH,0,-3
REV 4718,0,-2
BON A-5006,0,-2
24501,0,-2
GLO 0005,0,-3
MB-1150,0,-100
MB-1454,0,-106
MB-1156,0,-2
MB-1153,0,-7
414RP,0,-482
GLO 0001,0,-2
VAL 413R,0,-99124
VAL 415RP,0,-264
CONS 013,0,-76
VALV11031,0,-1
SPA 0750343NR,0,-3
CONS 556,0,-72
CONS 2820,0,-79
CONS 110,0,-222
CONS 1551,0,-128
CONS 166,0,-62
SIL 843,0,-13
SPA 03775,0,-1
SPA 037879IT03,0,-1
SIL 126,0,-1
GLMYSTIM2,0,-1
MER-005,0,-2
KUM REM,0,-1
SIL 830,0,-23
CONS 207,0,-13
CONS 184,4,0
SPA 015R368MSN,0,-1
51514,2,0
HEL AG70PD,2,0
OC105,1,0
MD-8868,1,0
H710,1,0
