Empresa,Yhaguy
AREGUA,CENTRAL
CAPIATA,CENTRAL
FERNANDO DE LA MORA,CENTRAL
GUARAMBARE,CENTRAL
ITA,CENTRAL
ITAUGUA,CENTRAL
LAMBARE,CENTRAL
LIMPIO,CENTRAL
LUQUE,CENTRAL
MARIANO ROQUE ALONSO,CENTRAL
NUEVA ITALIA,CENTRAL
ÐEMBY,CENTRAL
SAN ANTONIO,CENTRAL
SAN LORENZO,CENTRAL
VILLA ELISA,CENTRAL
VILLETA,CENTRAL
YPACARAI,CENTRAL
YPANE,CENTRAL
J AUGUSTO SALDIVAR,CENTRAL
PILAR,NEEMBUCU
ALBERDI,NEEMBUCU
CERRITO,NEEMBUCU
DESMOCHADOS,NEEMBUCU
GENERAL DIAZ,NEEMBUCU
GUAZU CUA,NEEMBUCU
HUMAITA,NEEMBUCU
ISLA UMBU,NEEMBUCU
LOS LAURELES,NEEMBUCU
MAYOR MARTINEZ,NEEMBUCU
PASO DE PATRIA,NEEMBUCU
SAN JUAN BAUTISTA DE ÐEEMBUCU,NEEMBUCU
TACUARAS,NEEMBUCU
VILLA FRANCA,NEEMBUCU
VILLA OLIVA,NEEMBUCU
VILLALBIN,NEEMBUCU
PEDRO JUAN CABALLERO,AMAMBAY
BELLA VISTA,AMAMBAY
CAPITAN BADO,AMAMBAY
ZANJA PYTA,AMAMBAY
KARAPA I,AMAMBAY
SALTOS DEL GUAIRA,CANINDEYU
CORPUS CHRISTI,CANINDEYU
CURUGUATY,CANINDEYU
VILLA YGATIMI,CANINDEYU
ITANARA,CANINDEYU
YPE JHU,CANINDEYU
FRANCISCO CABALLERO ALVAREZ,CANINDEYU
KATUETE,CANINDEYU
LA PALOMA,CANINDEYU
NUEVA ESPERANZA,CANINDEYU
YASY KANY,CANINDEYU
YBYRAROBANA,CANINDEYU
YBY PYTA,CANINDEYU
BENJAMIN ACEVAL,PRESIDENTE HAYES
PUERTO PINASCO,PRESIDENTE HAYES
VILLA HAYES,PRESIDENTE HAYES
NANAWA,PRESIDENTE HAYES
JOSE FALCON,PRESIDENTE HAYES
TTE 1RO MANUEL IRALA FERNANDEZ,PRESIDENTE HAYES
TTE. ESTEBAN MARTINEZ,PRESIDENTE HAYES
GRAL JOSE MARIA BRUGUEZ,PRESIDENTE HAYES
MARISCAL ESTIGARRIBIA,BOQUERON
FILADELFIA,BOQUERON
LOMA PLATA,BOQUERON
FUERTE OLIMPO,ALTO PARAGUAY
PUERTO CASADO,ALTO PARAGUAY
BAHIA NEGRA,ALTO PARAGUAY
CARMELO PERALTA,ALTO PARAGUAY
